pelv_smpl_x,pelv_smpl_y,pelv_smpl_z,lhip_smpl_x,lhip_smpl_y,lhip_smpl_z,rhip_smpl_x,rhip_smpl_y,rhip_smpl_z,bell_smpl_x,bell_smpl_y,bell_smpl_z,lkne_smpl_x,lkne_smpl_y,lkne_smpl_z,rkne_smpl_x,rkne_smpl_y,rkne_smpl_z,spin_smpl_x,spin_smpl_y,spin_smpl_z,lank_smpl_x,lank_smpl_y,lank_smpl_z,rank_smpl_x,rank_smpl_y,rank_smpl_z,thor_smpl_x,thor_smpl_y,thor_smpl_z,ltoe_smpl_x,ltoe_smpl_y,ltoe_smpl_z,rtoe_smpl_x,rtoe_smpl_y,rtoe_smpl_z,neck_smpl_x,neck_smpl_y,neck_smpl_z,lcla_smpl_x,lcla_smpl_y,lcla_smpl_z,rcla_smpl_x,rcla_smpl_y,rcla_smpl_z,head_smpl_x,head_smpl_y,head_smpl_z,lsho_smpl_x,lsho_smpl_y,lsho_smpl_z,rsho_smpl_x,rsho_smpl_y,rsho_smpl_z,lelb_smpl_x,lelb_smpl_y,lelb_smpl_z,relb_smpl_x,relb_smpl_y,relb_smpl_z,lwri_smpl_x,lwri_smpl_y,lwri_smpl_z,rwri_smpl_x,rwri_smpl_y,rwri_smpl_z,lhan_smpl_x,lhan_smpl_y,lhan_smpl_z,rhan_smpl_x,rhan_smpl_y,rhan_smpl_z,nose_coco_x,nose_coco_y,nose_coco_z,leye_coco_x,leye_coco_y,leye_coco_z,lear_coco_x,lear_coco_y,lear_coco_z,reye_coco_x,reye_coco_y,reye_coco_z,rear_coco_x,rear_coco_y,rear_coco_z,htop_mpi_inf_3dhp_x,htop_mpi_inf_3dhp_y,htop_mpi_inf_3dhp_z
-586.975,52.86631,5685.1035,-541.9208,149.27878,5730.1904,-644.19617,146.53592,5665.5093,-600.679,-67.70255,5707.29,-387.31708,491.75333,5764.3516,-736.02637,476.44052,5514.624,-584.01025,-208.80806,5672.377,-515.38696,793.86414,5988.4424,-823.70135,832.23376,5663.302,-575.76917,-264.46057,5648.0835,-433.02783,895.57306,5965.005,-855.8464,899.409,5549.715,-577.12537,-487.57382,5630.4385,-511.22714,-389.83212,5686.474,-646.75354,-383.24258,5602.6978,-547.9609,-569.73834,5580.912,-407.56134,-389.01392,5735.8115,-741.86145,-374.94873,5535.455,-393.077,-144.20198,5794.217,-803.3864,-128.35896,5523.093,-356.83066,-65.005295,5559.119,-607.6118,3.1822982,5442.001,-342.10327,-35.26318,5482.8745,-548.2289,44.7668,5410.324,-489.01416,-632.265,5508.185,-477.1024,-664.03094,5544.618,-492.15704,-643.46765,5632.2866,-526.0088,-665.0638,5502.62,-618.43066,-643.9492,5535.0273,-564.0873,-777.618,5594.5186
-579.66113,59.10166,5697.079,-532.8947,155.1428,5739.8545,-638.1471,153.19312,5679.6143,-591.51495,-60.86141,5720.323,-353.6809,487.30386,5734.238,-733.36096,485.0542,5526.9272,-573.41455,-201.2332,5682.156,-481.43735,778.91144,5980.471,-819.55774,837.30334,5684.9697,-564.91766,-256.48477,5656.7095,-409.77582,889.5739,5955.327,-852.6453,903.59247,5573.0728,-563.98016,-479.22827,5634.6553,-498.10693,-381.5827,5690.652,-635.46234,-375.152,5611.0957,-535.3223,-560.05023,5583.896,-393.0389,-380.2957,5736.6216,-730.8275,-365.36087,5545.1304,-384.3593,-135.01697,5797.0713,-787.9303,-118.060265,5537.5977,-350.95233,-57.056435,5560.6636,-598.366,16.48367,5450.2236,-337.33008,-28.181568,5484.417,-539.41296,57.477318,5416.414,-478.61832,-624.5353,5509.8975,-466.36002,-657.4155,5546.448,-478.1599,-633.58136,5634.2383,-516.1517,-656.64417,5505.7134,-607.1107,-633.99805,5540.003,-553.29834,-768.339,5600.425
-566.2274,60.533894,5703.909,-518.39343,156.04008,5745.707,-624.61536,155.23743,5688.0024,-577.7268,-59.343468,5727.3423,-325.91846,480.5612,5721.022,-728.1452,486.9397,5538.5244,-559.12024,-198.87515,5687.241,-442.70685,771.7865,5974.126,-816.90906,837.3298,5701.034,-550.61884,-253.7926,5661.2183,-373.67316,886.5114,5949.4478,-851.4572,903.31366,5589.681,-548.3633,-476.13437,5636.0938,-482.5152,-378.9527,5692.4365,-620.43207,-372.13278,5614.864,-520.006,-556.59265,5584.8174,-376.3875,-378.5445,5737.1133,-716.0609,-362.43158,5549.204,-372.83417,-134.97171,5804.341,-773.7909,-115.52759,5545.5,-340.74854,-54.55412,5569.513,-585.8177,19.805428,5455.0093,-327.48672,-24.866444,5493.747,-527.32715,60.296776,5420.122,-463.25894,-620.3934,5509.911,-450.66437,-653.34766,5546.125,-462.12677,-629.8868,5633.7686,-501.13956,-653.40955,5505.8477,-591.7699,-630.6564,5540.922,-537.47644,-765.2696,5600.363
-544.94965,56.35854,5696.7827,-497.11786,151.63612,5738.6494,-603.5689,150.97961,5681.7573,-555.73596,-63.309704,5720.0195,-300.64413,473.99692,5731.5654,-713.53503,474.725,5518.7725,-536.6185,-201.36362,5678.1294,-394.68198,773.8551,5984.208,-806.9071,831.16516,5671.3716,-528.4059,-255.62683,5651.332,-316.9306,884.87415,5956.522,-840.61816,898.4816,5560.7856,-526.3121,-475.81674,5623.65,-459.43832,-380.03033,5679.226,-599.14874,-372.81207,5605.536,-498.5975,-556.1637,5570.9683,-351.49622,-381.04962,5720.9155,-696.6327,-363.17502,5543.0596,-349.89325,-139.62749,5793.9644,-754.0848,-117.0015,5544.831,-324.54752,-58.673897,5557.3975,-567.6418,17.618763,5449.168,-313.42886,-28.570683,5481.1885,-510.1075,57.449623,5412.167,-443.85742,-618.733,5494.4893,-429.85333,-650.7721,5530.014,-439.6042,-629.3213,5618.1113,-481.0464,-651.8126,5491.31,-571.47205,-630.078,5528.8955,-513.66315,-765.4763,5584.4146
-520.0792,53.75354,5698.2427,-471.556,148.73828,5738.933,-579.0883,148.4624,5684.867,-530.2404,-66.08514,5721.3535,-273.6255,470.9267,5744.3525,-697.2266,473.19977,5526.267,-512.2518,-204.18353,5680.186,-337.77393,782.5475,5991.328,-800.8424,827.4539,5673.7856,-504.53912,-258.43683,5653.323,-250.02158,885.1906,5959.366,-833.9134,893.22864,5563.982,-503.02158,-477.98502,5626.4824,-435.30353,-382.79007,5680.412,-576.0716,-375.40845,5609.3447,-475.32965,-558.6587,5573.893,-326.62897,-385.5606,5720.0293,-674.89453,-366.9371,5548.9854,-321.41202,-142.96396,5790.1406,-732.5549,-119.911964,5553.4365,-303.31616,-62.515778,5552.872,-547.4182,12.874469,5453.6436,-295.0218,-31.662975,5477.4385,-490.9437,52.12805,5415.9346,-421.2702,-621.1298,5496.714,-406.95493,-653.65247,5532.124,-416.08722,-632.164,5620.0215,-458.3084,-654.1783,5493.829,-548.2664,-632.25696,5532.0005,-489.75995,-768.46484,5585.3804
-492.80414,51.377968,5687.8896,-444.79776,145.94089,5728.4395,-552.109,145.52791,5676.3657,-502.0777,-68.333755,5710.2607,-252.08423,467.33636,5752.592,-680.14404,469.2746,5523.4736,-484.69003,-206.1978,5668.893,-274.53354,798.9696,5975.1406,-793.55286,826.67334,5655.7935,-477.35733,-260.40427,5641.8755,-185.16684,892.1367,5932.165,-825.85706,892.6393,5545.371,-475.44302,-479.48663,5613.7393,-407.79327,-384.79825,5666.7334,-548.7092,-376.75433,5598.564,-449.16522,-559.70795,5560.4014,-298.8178,-389.9022,5704.4814,-648.2522,-369.63998,5540.392,-291.33014,-147.70168,5775.552,-705.43976,-123.39522,5548.7554,-278.15643,-64.536736,5540.6846,-522.5327,4.5018525,5440.2524,-270.37134,-31.777767,5464.1494,-467.1783,42.97184,5399.057,-396.94998,-622.0848,5482.166,-381.87314,-654.55994,5517.142,-388.7893,-632.9281,5605.328,-433.8286,-655.0413,5480.193,-522.57245,-633.0451,5520.3823,-462.75116,-769.6365,5571.371
-462.07602,51.798683,5680.86,-413.62378,146.87386,5716.8486,-522.74347,145.15642,5672.34,-468.2854,-68.04806,5704.931,-223.72244,475.92172,5730.746,-664.3839,468.01358,5527.547,-453.40155,-207.46085,5665.3486,-213.29109,814.647,5946.476,-787.657,822.70197,5658.8545,-447.5871,-262.70813,5638.6313,-134.47772,898.44904,5884.6646,-822.37195,890.88885,5551.375,-447.04248,-482.84628,5613.243,-376.7462,-387.28955,5661.5244,-520.985,-379.85483,5600.5703,-421.22968,-562.3891,5559.295,-266.40424,-394.2566,5694.1733,-622.35956,-373.71313,5546.8687,-252.98538,-152.51608,5766.751,-675.74664,-126.66396,5552.366,-243.04407,-80.25838,5521.712,-497.59918,-6.2399445,5428.246,-238.90987,-50.60108,5441.8447,-445.01376,29.7137,5381.649,-368.4642,-622.4066,5481.3174,-353.37347,-655.379,5515.669,-360.52606,-635.4807,5602.6074,-404.53558,-655.2652,5478.6157,-493.63126,-635.9259,5518.575,-433.04956,-772.36414,5568.72
-430.38916,51.464806,5674.8926,-381.83188,146.37296,5707.8965,-491.0664,144.86864,5668.5254,-434.66177,-67.59605,5699.2964,-201.75485,476.97867,5722.8057,-640.4541,457.78775,5515.3564,-420.39606,-207.78018,5659.4204,-165.95448,817.7383,5930.8125,-777.26117,816.2118,5623.9883,-415.3266,-262.9179,5632.243,-112.253525,896.8914,5850.6904,-812.18585,882.6434,5517.051,-416.37042,-483.06747,5604.71,-344.85773,-387.78986,5651.8975,-489.47772,-379.91895,5595.6475,-390.87555,-561.275,5549.882,-234.3012,-396.44794,5681.63,-592.0354,-372.10828,5545.122,-220.37813,-157.5962,5750.698,-642.8244,-125.55491,5549.291,-220.94246,-103.64203,5497.3755,-472.4069,-20.483603,5408.05,-217.72314,-79.82614,5416.593,-421.2818,11.200198,5355.493,-339.42157,-620.43005,5470.728,-324.08585,-654.38995,5504.514,-328.89935,-634.17615,5590.9976,-375.86395,-653.3941,5468.6025,-463.93954,-634.80676,5509.972,-402.76837,-772.49994,5559.892
-395.38818,50.68628,5678.739,-347.19247,146.18997,5707.5454,-456.51923,143.52625,5676.515,-396.04205,-69.049904,5703.3496,-181.71315,482.79376,5739.9287,-613.7582,442.42206,5506.3066,-385.36707,-209.84058,5663.6904,-143.47423,819.5426,5950.0044,-763.2202,805.8678,5572.097,-381.15555,-265.49057,5635.767,-103.568825,895.0104,5865.025,-800.2054,869.0065,5462.0034,-384.5055,-485.53687,5608.111,-310.42264,-390.2164,5650.5923,-457.1014,-381.97906,5604.495,-362.00568,-563.1893,5552.306,-198.15848,-397.76663,5669.8345,-560.57666,-372.48004,5559.167,-175.67097,-154.61594,5710.9907,-611.1776,-124.6708,5559.6753,-189.09244,-119.30318,5459.769,-450.92172,-37.204014,5398.381,-195.22684,-102.3049,5378.88,-403.3012,-12.366651,5339.3823,-310.59625,-620.63416,5470.8623,-294.81723,-654.74695,5504.464,-298.7651,-635.90985,5591.925,-347.6541,-654.62634,5469.1006,-435.20175,-635.64435,5511.8945,-372.99707,-773.3087,5561.774
-356.80972,51.691223,5658.864,-308.7256,147.3588,5684.4062,-417.72812,144.12234,5656.5195,-356.24225,-67.88498,5685.5894,-153.0371,485.91666,5695.0845,-584.02216,434.7044,5477.002,-347.38043,-208.53093,5646.2354,-143.75847,819.6722,5912.985,-742.9637,794.446,5534.8877,-344.05283,-264.64478,5619.1436,-98.69056,888.7664,5827.393,-788.8273,857.4587,5428.789,-350.84863,-483.67798,5592.3022,-274.94916,-389.95764,5632.7256,-421.97818,-379.67676,5590.755,-329.86563,-561.85,5535.7817,-167.16008,-402.67953,5649.8174,-524.97266,-370.0967,5548.5303,-146.14902,-156.18625,5675.6494,-577.59454,-123.166504,5541.1104,-169.83244,-139.86136,5427.9062,-430.37198,-60.439106,5360.9585,-185.774,-132.53917,5345.997,-386.6821,-44.43006,5294.2544,-280.4291,-618.66754,5452.7603,-263.53027,-652.27875,5486.2856,-266.2366,-635.3998,5575.3647,-317.3914,-651.6507,5451.8105,-403.96466,-632.9711,5496.4556,-341.3632,-771.7358,5545.769
